OTU;Domain;Phylum;Class;Order;Family;Genus;Species
MT734670.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_clinopodii
MZ420209.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_docyniae
HQ643518.2;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_cystogenes
MG865508.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_hydrogena
KT795475.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_potentillae-anserinae
HQ643739.2;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_pectinolyticum
MG865599.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_x_serendipita
MF036196.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_tubulina
AY198250.3;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora_nesliae
MT734671.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_elsholtziae
KT795480.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_agrimoniae
